tick,timestamp,weather_pattern,tariff,actual_inflow,expected_inflow,actual_cost,forecast_optimizer_cost,cost_delta_optimizer_minus_actual,actual_ending_volume,forecast_optimizer_ending_volume,actual_pumped,forecast_optimizer_pumped,actual_warnings,forecast_optimizer_warnings
205,2026-06-05T06:00:00+00:00,severe_wet_afternoon,257.37,4.92,4.9995,0.00,2058.96,2058.96,53.32,229.32,0.00,8.00,,
206,2026-06-05T06:30:00+00:00,severe_wet_afternoon,257.37,4.69,5.0726,3088.44,1029.48,-2058.96,46.01,230.01,12.00,4.00,,
207,2026-06-05T07:00:00+00:00,severe_wet_afternoon,257.37,4.78,4.8121,1029.48,1029.48,0.00,46.79,230.79,4.00,4.00,,
208,2026-06-05T07:30:00+00:00,severe_wet_afternoon,257.37,4.80,5.2169,1029.48,1029.48,0.00,47.59,231.59,4.00,4.00,,
209,2026-06-05T08:00:00+00:00,severe_wet_afternoon,282.66,4.69,4.9467,1130.64,2261.28,1130.64,48.28,228.28,4.00,8.00,,
210,2026-06-05T08:30:00+00:00,severe_wet_afternoon,282.66,4.53,4.9215,0.00,1130.64,1130.64,52.81,228.81,0.00,4.00,,
211,2026-06-05T09:00:00+00:00,severe_wet_afternoon,282.66,4.99,5.2850,3391.92,1130.64,-2261.28,45.80,229.80,12.00,4.00,,
212,2026-06-05T09:30:00+00:00,severe_wet_afternoon,282.66,4.90,5.3688,0.00,1130.64,1130.64,50.70,230.70,0.00,4.00,,
213,2026-06-05T10:00:00+00:00,severe_wet_afternoon,282.66,4.48,4.5184,2261.28,2261.28,0.00,47.18,227.18,8.00,8.00,,
214,2026-06-05T10:30:00+00:00,severe_wet_afternoon,282.66,3.12,3.2407,0.00,0.00,0.00,50.30,230.30,0.00,0.00,,
215,2026-06-05T11:00:00+00:00,severe_wet_afternoon,282.66,3.04,3.0733,2261.28,1130.64,-1130.64,45.34,229.34,8.00,4.00,,
216,2026-06-05T11:30:00+00:00,severe_wet_afternoon,282.66,9.11,9.5226,2261.28,3391.92,1130.64,46.45,226.45,8.00,12.00,,
217,2026-06-05T12:00:00+00:00,severe_wet_afternoon,283.90,9.20,9.5979,0.00,1135.60,1135.60,55.65,231.65,0.00,4.00,,
218,2026-06-05T12:30:00+00:00,severe_wet_afternoon,283.90,8.52,8.6696,3406.80,2271.20,-1135.60,52.17,232.17,12.00,8.00,,
219,2026-06-05T13:00:00+00:00,severe_wet_afternoon,283.90,8.88,9.3940,3406.80,2271.20,-1135.60,49.05,233.05,12.00,8.00,,
220,2026-06-05T13:30:00+00:00,severe_wet_afternoon,283.90,8.57,9.1104,1135.60,3406.80,2271.20,53.62,229.62,4.00,12.00,,
221,2026-06-05T14:00:00+00:00,severe_wet_afternoon,283.90,8.87,8.8828,2271.20,2271.20,0.00,54.49,230.49,8.00,8.00,,
222,2026-06-05T14:30:00+00:00,severe_wet_afternoon,283.90,8.86,9.4626,2271.20,2271.20,0.00,55.35,231.35,8.00,8.00,,
223,2026-06-05T15:00:00+00:00,severe_wet_afternoon,283.90,8.74,9.4660,1135.60,3406.80,2271.20,60.09,228.09,4.00,12.00,,
224,2026-06-05T15:30:00+00:00,severe_wet_afternoon,283.90,9.20,9.8488,2271.20,2271.20,0.00,61.29,229.29,8.00,8.00,,
225,2026-06-05T16:00:00+00:00,severe_wet_afternoon,302.47,12.61,13.8057,4839.52,3629.64,-1209.88,57.90,229.90,16.00,12.00,,
226,2026-06-05T16:30:00+00:00,severe_wet_afternoon,302.47,12.17,13.1765,6049.40,4839.52,-1209.88,50.07,226.07,20.00,16.00,,
227,2026-06-05T17:00:00+00:00,severe_wet_afternoon,302.47,12.52,13.2772,1209.88,3629.64,2419.76,58.59,226.59,4.00,12.00,,
228,2026-06-05T17:30:00+00:00,severe_wet_afternoon,302.47,12.19,12.5373,4839.52,3629.64,-1209.88,54.78,226.78,16.00,12.00,,
229,2026-06-05T18:00:00+00:00,severe_wet_afternoon,302.47,11.94,12.2128,3629.64,3629.64,0.00,54.72,226.72,12.00,12.00,,
230,2026-06-05T18:30:00+00:00,severe_wet_afternoon,302.47,12.14,12.6423,6049.40,3629.64,-2419.76,46.86,226.86,20.00,12.00,,
231,2026-06-05T19:00:00+00:00,severe_wet_afternoon,302.47,4.91,5.1478,0.00,2419.76,2419.76,51.77,223.77,0.00,8.00,,
232,2026-06-05T19:30:00+00:00,severe_wet_afternoon,302.47,5.34,5.5794,3629.64,1209.88,-2419.76,45.11,225.11,12.00,4.00,,
233,2026-06-05T20:00:00+00:00,severe_wet_afternoon,277.06,5.04,5.3783,0.00,1108.24,1108.24,50.15,226.15,0.00,4.00,,
234,2026-06-05T20:30:00+00:00,severe_wet_afternoon,277.06,5.15,5.1933,2216.48,2216.48,0.00,47.30,223.30,8.00,8.00,,
235,2026-06-05T21:00:00+00:00,severe_wet_afternoon,277.06,5.32,5.3851,1108.24,1108.24,0.00,48.62,224.62,4.00,4.00,,
236,2026-06-05T21:30:00+00:00,severe_wet_afternoon,277.06,2.50,2.6251,0.00,1108.24,1108.24,51.12,223.12,0.00,4.00,,
237,2026-06-05T22:00:00+00:00,severe_wet_afternoon,277.06,2.43,2.6669,1108.24,0.00,-1108.24,49.55,225.55,4.00,0.00,,
238,2026-06-05T22:30:00+00:00,severe_wet_afternoon,277.06,2.19,2.2512,1108.24,1108.24,0.00,47.74,223.74,4.00,4.00,,
239,2026-06-05T23:00:00+00:00,severe_wet_afternoon,277.06,2.41,2.4156,1108.24,1108.24,0.00,46.15,222.15,4.00,4.00,,
240,2026-06-05T23:30:00+00:00,severe_wet_afternoon,277.06,2.26,2.2810,0.00,0.00,0.00,48.41,224.41,0.00,0.00,,
241,2026-06-06T00:00:00+00:00,extreme_dry,228.42,0.25,0.2523,0.00,0.00,0.00,48.66,224.66,0.00,0.00,,
242,2026-06-06T00:30:00+00:00,extreme_dry,228.42,0.05,0.0538,0.00,0.00,0.00,48.71,224.71,0.00,0.00,,
243,2026-06-06T01:00:00+00:00,extreme_dry,228.42,0.05,0.0549,0.00,0.00,0.00,48.76,224.76,0.00,0.00,,
244,2026-06-06T01:30:00+00:00,extreme_dry,228.42,0.14,0.1478,0.00,0.00,0.00,48.90,224.90,0.00,0.00,,
245,2026-06-06T02:00:00+00:00,extreme_dry,228.42,0.05,0.0505,0.00,0.00,0.00,48.95,224.95,0.00,0.00,,
246,2026-06-06T02:30:00+00:00,extreme_dry,228.42,0.15,0.1603,913.68,0.00,-913.68,45.10,225.10,4.00,0.00,,
247,2026-06-06T03:00:00+00:00,extreme_dry,228.42,0.16,0.1700,0.00,0.00,0.00,45.26,225.26,0.00,0.00,,
248,2026-06-06T03:30:00+00:00,extreme_dry,228.42,0.06,0.0601,0.00,0.00,0.00,45.32,225.32,0.00,0.00,,
249,2026-06-06T04:00:00+00:00,extreme_dry,257.37,0.12,0.1281,0.00,0.00,0.00,45.44,225.44,0.00,0.00,,
250,2026-06-06T04:30:00+00:00,extreme_dry,257.37,0.27,0.2779,0.00,0.00,0.00,45.71,225.71,0.00,0.00,,
251,2026-06-06T05:00:00+00:00,extreme_dry,257.37,0.15,0.1542,0.00,0.00,0.00,45.86,225.86,0.00,0.00,,
252,2026-06-06T05:30:00+00:00,extreme_dry,257.37,0.65,0.6783,0.00,0.00,0.00,46.51,226.51,0.00,0.00,,
253,2026-06-06T06:00:00+00:00,extreme_dry,257.37,0.69,0.6922,0.00,0.00,0.00,47.20,227.20,0.00,0.00,,
254,2026-06-06T06:30:00+00:00,extreme_dry,257.37,0.72,0.7545,0.00,0.00,0.00,47.92,227.92,0.00,0.00,,
255,2026-06-06T07:00:00+00:00,extreme_dry,257.37,0.47,0.4758,0.00,0.00,0.00,48.39,228.39,0.00,0.00,,
256,2026-06-06T07:30:00+00:00,extreme_dry,257.37,0.53,0.5318,0.00,0.00,0.00,48.92,228.92,0.00,0.00,,
257,2026-06-06T08:00:00+00:00,extreme_dry,282.66,0.46,0.4712,0.00,0.00,0.00,49.38,229.38,0.00,0.00,,
258,2026-06-06T08:30:00+00:00,extreme_dry,282.66,0.66,0.6613,0.00,0.00,0.00,50.04,230.04,0.00,0.00,,
259,2026-06-06T09:00:00+00:00,extreme_dry,282.66,0.70,0.7448,0.00,0.00,0.00,50.74,230.74,0.00,0.00,,
260,2026-06-06T09:30:00+00:00,extreme_dry,282.66,0.49,0.5271,0.00,0.00,0.00,51.23,231.23,0.00,0.00,,
261,2026-06-06T10:00:00+00:00,extreme_dry,282.66,0.62,0.6487,0.00,0.00,0.00,51.85,231.85,0.00,0.00,,
262,2026-06-06T10:30:00+00:00,extreme_dry,282.66,0.24,0.2543,1130.64,0.00,-1130.64,48.09,232.09,4.00,0.00,,
263,2026-06-06T11:00:00+00:00,extreme_dry,282.66,0.34,0.3601,0.00,0.00,0.00,48.43,232.43,0.00,0.00,,
264,2026-06-06T11:30:00+00:00,extreme_dry,282.66,0.19,0.2018,0.00,0.00,0.00,48.62,232.62,0.00,0.00,,
265,2026-06-06T12:00:00+00:00,extreme_dry,283.90,0.32,0.3509,0.00,0.00,0.00,48.94,232.94,0.00,0.00,,
266,2026-06-06T12:30:00+00:00,extreme_dry,283.90,0.28,0.2907,1135.60,0.00,-1135.60,45.22,233.22,4.00,0.00,,
267,2026-06-06T13:00:00+00:00,extreme_dry,283.90,0.19,0.1910,0.00,0.00,0.00,45.41,233.41,0.00,0.00,,
268,2026-06-06T13:30:00+00:00,extreme_dry,283.90,0.36,0.3694,0.00,0.00,0.00,45.77,233.77,0.00,0.00,,
269,2026-06-06T14:00:00+00:00,extreme_dry,283.90,0.46,0.4931,0.00,0.00,0.00,46.23,234.23,0.00,0.00,,
270,2026-06-06T14:30:00+00:00,extreme_dry,283.90,0.44,0.4735,0.00,0.00,0.00,46.67,234.67,0.00,0.00,,
271,2026-06-06T15:00:00+00:00,extreme_dry,283.90,0.18,0.1948,0.00,0.00,0.00,46.85,234.85,0.00,0.00,,
272,2026-06-06T15:30:00+00:00,extreme_dry,283.90,0.39,0.3988,0.00,1135.60,1135.60,47.24,231.24,0.00,4.00,,
273,2026-06-06T16:00:00+00:00,extreme_dry,302.47,0.76,0.7655,0.00,0.00,0.00,48.00,232.00,0.00,0.00,,
274,2026-06-06T16:30:00+00:00,extreme_dry,302.47,0.56,0.5973,0.00,0.00,0.00,48.56,232.56,0.00,0.00,,
275,2026-06-06T17:00:00+00:00,extreme_dry,302.47,0.80,0.8069,0.00,0.00,0.00,49.36,233.36,0.00,0.00,,
276,2026-06-06T17:30:00+00:00,extreme_dry,302.47,0.51,0.5234,0.00,0.00,0.00,49.87,233.87,0.00,0.00,,
277,2026-06-06T18:00:00+00:00,extreme_dry,302.47,0.53,0.5685,0.00,0.00,0.00,50.40,234.40,0.00,0.00,,
278,2026-06-06T18:30:00+00:00,extreme_dry,302.47,0.58,0.5939,1209.88,1209.88,0.00,46.98,230.98,4.00,4.00,,
279,2026-06-06T19:00:00+00:00,extreme_dry,302.47,0.77,0.8416,0.00,0.00,0.00,47.75,231.75,0.00,0.00,,
280,2026-06-06T19:30:00+00:00,extreme_dry,302.47,0.52,0.5684,0.00,0.00,0.00,48.27,232.27,0.00,0.00,,
281,2026-06-06T20:00:00+00:00,extreme_dry,277.06,0.83,0.8495,1108.24,0.00,-1108.24,45.10,233.10,4.00,0.00,,
282,2026-06-06T20:30:00+00:00,extreme_dry,277.06,0.69,0.7204,0.00,0.00,0.00,45.79,233.79,0.00,0.00,,
283,2026-06-06T21:00:00+00:00,extreme_dry,277.06,0.59,0.5901,0.00,0.00,0.00,46.38,234.38,0.00,0.00,,
284,2026-06-06T21:30:00+00:00,extreme_dry,277.06,0.20,0.2136,0.00,1108.24,1108.24,46.58,230.58,0.00,4.00,,
285,2026-06-06T22:00:00+00:00,extreme_dry,277.06,0.05,0.0536,0.00,0.00,0.00,46.63,230.63,0.00,0.00,,
286,2026-06-06T22:30:00+00:00,extreme_dry,277.06,0.05,0.0543,0.00,0.00,0.00,46.68,230.68,0.00,0.00,,
287,2026-06-06T23:00:00+00:00,extreme_dry,277.06,0.26,0.2676,0.00,0.00,0.00,46.94,230.94,0.00,0.00,,
288,2026-06-06T23:30:00+00:00,extreme_dry,277.06,0.30,0.3016,0.00,0.00,0.00,47.24,231.24,0.00,0.00,,
289,2026-06-07T00:00:00+00:00,wet,228.42,2.38,2.4284,913.68,0.00,-913.68,45.62,233.62,4.00,0.00,,
290,2026-06-07T00:30:00+00:00,wet,228.42,2.31,2.3193,0.00,913.68,913.68,47.93,231.93,0.00,4.00,,
291,2026-06-07T01:00:00+00:00,wet,228.42,2.15,2.2536,913.68,0.00,-913.68,46.08,234.08,4.00,0.00,,
292,2026-06-07T01:30:00+00:00,wet,228.42,2.35,2.4550,0.00,913.68,913.68,48.43,232.43,0.00,4.00,,
293,2026-06-07T02:00:00+00:00,wet,228.42,2.58,2.6049,913.68,913.68,0.00,47.01,231.01,4.00,4.00,,
294,2026-06-07T02:30:00+00:00,wet,228.42,2.46,2.5172,0.00,0.00,0.00,49.47,233.47,0.00,0.00,,
295,2026-06-07T03:00:00+00:00,wet,228.42,2.00,2.1854,913.68,913.68,0.00,47.47,231.47,4.00,4.00,,
296,2026-06-07T03:30:00+00:00,wet,228.42,2.26,2.4086,0.00,1827.36,1827.36,49.73,225.73,0.00,8.00,,
297,2026-06-07T04:00:00+00:00,wet,257.37,2.51,2.7396,1029.48,0.00,-1029.48,48.24,228.24,4.00,0.00,,
298,2026-06-07T04:30:00+00:00,wet,257.37,2.42,2.5922,0.00,0.00,0.00,50.66,230.66,0.00,0.00,,
299,2026-06-07T05:00:00+00:00,wet,257.37,2.22,2.2467,0.00,0.00,0.00,52.88,232.88,0.00,0.00,,
300,2026-06-07T05:30:00+00:00,wet,257.37,5.13,5.6276,3088.44,2058.96,-1029.48,46.01,230.01,12.00,8.00,,
301,2026-06-07T06:00:00+00:00,wet,257.37,5.56,5.9133,0.00,1029.48,1029.48,51.57,231.57,0.00,4.00,,
302,2026-06-07T06:30:00+00:00,wet,257.37,5.57,5.6266,3088.44,2058.96,-1029.48,45.14,229.14,12.00,8.00,,
303,2026-06-07T07:00:00+00:00,wet,257.37,5.62,5.7061,0.00,1029.48,1029.48,50.76,230.76,0.00,4.00,,
304,2026-06-07T07:30:00+00:00,wet,257.37,5.15,5.5833,1029.48,1029.48,0.00,51.91,231.91,4.00,4.00,,
305,2026-06-07T08:00:00+00:00,wet,282.66,5.62,6.0405,2261.28,2261.28,0.00,49.53,229.53,8.00,8.00,,
306,2026-06-07T08:30:00+00:00,wet,282.66,5.25,5.3541,1130.64,1130.64,0.00,50.78,230.78,4.00,4.00,,
307,2026-06-07T09:00:00+00:00,wet,282.66,5.59,6.0356,0.00,2261.28,2261.28,56.37,228.37,0.00,8.00,,
308,2026-06-07T09:30:00+00:00,wet,282.66,5.39,5.4170,2261.28,1130.64,-1130.64,53.76,229.76,8.00,4.00,,
309,2026-06-07T10:00:00+00:00,wet,282.66,5.42,5.6121,2261.28,1130.64,-1130.64,51.18,231.18,8.00,4.00,,
310,2026-06-07T10:30:00+00:00,wet,282.66,3.37,3.4166,2261.28,1130.64,-1130.64,46.55,230.55,8.00,4.00,,
311,2026-06-07T11:00:00+00:00,wet,282.66,3.47,3.4854,1130.64,1130.64,0.00,46.02,230.02,4.00,4.00,,
312,2026-06-07T11:30:00+00:00,wet,282.66,3.67,3.8163,0.00,2261.28,2261.28,49.69,225.69,0.00,8.00,,
313,2026-06-07T12:00:00+00:00,wet,283.90,3.50,3.5006,1135.60,0.00,-1135.60,49.19,229.19,4.00,0.00,,
314,2026-06-07T12:30:00+00:00,wet,283.90,3.29,3.4842,0.00,0.00,0.00,52.48,232.48,0.00,0.00,,
315,2026-06-07T13:00:00+00:00,wet,283.90,3.36,3.4426,1135.60,1135.60,0.00,51.84,231.84,4.00,4.00,,
316,2026-06-07T13:30:00+00:00,wet,283.90,3.35,3.6616,2271.20,1135.60,-1135.60,47.19,231.19,8.00,4.00,,
317,2026-06-07T14:00:00+00:00,wet,283.90,3.49,3.7319,0.00,1135.60,1135.60,50.68,230.68,0.00,4.00,,
318,2026-06-07T14:30:00+00:00,wet,283.90,3.33,3.3355,1135.60,0.00,-1135.60,50.01,234.01,4.00,0.00,,
319,2026-06-07T15:00:00+00:00,wet,283.90,3.16,3.2438,2271.20,1135.60,-1135.60,45.17,233.17,8.00,4.00,,
320,2026-06-07T15:30:00+00:00,wet,283.90,3.37,3.6927,0.00,2271.20,2271.20,48.54,228.54,0.00,8.00,,
321,2026-06-07T16:00:00+00:00,wet,302.47,5.70,5.9735,2419.76,1209.88,-1209.88,46.24,230.24,8.00,4.00,,
322,2026-06-07T16:30:00+00:00,wet,302.47,5.69,6.0183,1209.88,1209.88,0.00,47.93,231.93,4.00,4.00,,
323,2026-06-07T17:00:00+00:00,wet,302.47,5.63,6.1781,1209.88,2419.76,1209.88,49.56,229.56,4.00,8.00,,
324,2026-06-07T17:30:00+00:00,wet,302.47,5.62,6.0665,1209.88,1209.88,0.00,51.18,231.18,4.00,4.00,,
325,2026-06-07T18:00:00+00:00,wet,302.47,5.70,5.8313,0.00,2419.76,2419.76,56.88,228.88,0.00,8.00,,
326,2026-06-07T18:30:00+00:00,wet,302.47,5.74,6.2871,2419.76,1209.88,-1209.88,54.62,230.62,8.00,4.00,,
327,2026-06-07T19:00:00+00:00,wet,302.47,5.47,5.8112,1209.88,3629.64,2419.76,56.09,224.09,4.00,12.00,,
328,2026-06-07T19:30:00+00:00,wet,302.47,5.50,5.9173,1209.88,0.00,-1209.88,57.59,229.59,4.00,0.00,,
329,2026-06-07T20:00:00+00:00,wet,277.06,5.45,5.9918,2216.48,2216.48,0.00,55.04,227.04,8.00,8.00,,
330,2026-06-07T20:30:00+00:00,wet,277.06,5.52,5.8402,3324.72,1108.24,-2216.48,48.56,228.56,12.00,4.00,,
331,2026-06-07T21:00:00+00:00,wet,277.06,5.87,6.1275,1108.24,2216.48,1108.24,50.43,226.43,4.00,8.00,,
332,2026-06-07T21:30:00+00:00,wet,277.06,2.27,2.4958,0.00,0.00,0.00,52.70,228.70,0.00,0.00,,
333,2026-06-07T22:00:00+00:00,wet,277.06,2.59,2.6640,0.00,1108.24,1108.24,55.29,227.29,0.00,4.00,,
334,2026-06-07T22:30:00+00:00,wet,277.06,2.53,2.6936,2216.48,1108.24,-1108.24,49.82,225.82,8.00,4.00,,
335,2026-06-07T23:00:00+00:00,wet,277.06,2.76,2.8447,1108.24,0.00,-1108.24,48.58,228.58,4.00,0.00,,
336,2026-06-07T23:30:00+00:00,wet,277.06,2.76,3.0281,1108.24,1108.24,0.00,47.34,227.34,4.00,4.00,,
337,2026-06-08T00:00:00+00:00,dry_spell,228.42,0.09,0.0972,0.00,0.00,0.00,47.43,227.43,0.00,0.00,,
338,2026-06-08T00:30:00+00:00,dry_spell,228.42,0.15,0.1545,0.00,0.00,0.00,47.58,227.58,0.00,0.00,,
339,2026-06-08T01:00:00+00:00,dry_spell,228.42,0.09,0.0915,0.00,0.00,0.00,47.67,227.67,0.00,0.00,,
340,2026-06-08T01:30:00+00:00,dry_spell,228.42,0.05,0.0542,0.00,0.00,0.00,47.72,227.72,0.00,0.00,,
341,2026-06-08T02:00:00+00:00,dry_spell,228.42,0.05,0.0526,0.00,0.00,0.00,47.77,227.77,0.00,0.00,,
342,2026-06-08T02:30:00+00:00,dry_spell,228.42,0.32,0.3315,0.00,0.00,0.00,48.09,228.09,0.00,0.00,,
343,2026-06-08T03:00:00+00:00,dry_spell,228.42,0.18,0.1923,0.00,0.00,0.00,48.27,228.27,0.00,0.00,,
344,2026-06-08T03:30:00+00:00,dry_spell,228.42,0.26,0.2764,0.00,0.00,0.00,48.53,228.53,0.00,0.00,,
345,2026-06-08T04:00:00+00:00,dry_spell,257.37,0.13,0.1390,0.00,0.00,0.00,48.66,228.66,0.00,0.00,,
346,2026-06-08T04:30:00+00:00,dry_spell,257.37,0.32,0.3243,0.00,0.00,0.00,48.98,228.98,0.00,0.00,,
347,2026-06-08T05:00:00+00:00,dry_spell,257.37,0.15,0.1633,1029.48,0.00,-1029.48,45.13,229.13,4.00,0.00,,
348,2026-06-08T05:30:00+00:00,dry_spell,257.37,1.15,1.1506,0.00,0.00,0.00,46.28,230.28,0.00,0.00,,
349,2026-06-08T06:00:00+00:00,dry_spell,257.37,0.83,0.8548,0.00,0.00,0.00,47.11,231.11,0.00,0.00,,
350,2026-06-08T06:30:00+00:00,dry_spell,257.37,1.08,1.1702,0.00,0.00,0.00,48.19,232.19,0.00,0.00,,
351,2026-06-08T07:00:00+00:00,dry_spell,257.37,0.83,0.8853,0.00,0.00,0.00,49.02,233.02,0.00,0.00,,
352,2026-06-08T07:30:00+00:00,dry_spell,257.37,1.01,1.0331,0.00,0.00,0.00,50.03,234.03,0.00,0.00,,
353,2026-06-08T08:00:00+00:00,dry_spell,282.66,0.98,0.9866,0.00,1130.64,1130.64,51.01,231.01,0.00,4.00,,
354,2026-06-08T08:30:00+00:00,dry_spell,282.66,1.15,1.2630,1130.64,0.00,-1130.64,48.16,232.16,4.00,0.00,,
355,2026-06-08T09:00:00+00:00,dry_spell,282.66,1.08,1.1577,0.00,0.00,0.00,49.24,233.24,0.00,0.00,,
356,2026-06-08T09:30:00+00:00,dry_spell,282.66,0.95,1.0389,1130.64,0.00,-1130.64,46.19,234.19,4.00,0.00,,
357,2026-06-08T10:00:00+00:00,dry_spell,282.66,0.87,0.8775,0.00,1130.64,1130.64,47.06,231.06,0.00,4.00,,
358,2026-06-08T10:30:00+00:00,dry_spell,282.66,0.59,0.6350,0.00,0.00,0.00,47.65,231.65,0.00,0.00,,
359,2026-06-08T11:00:00+00:00,dry_spell,282.66,0.53,0.5392,0.00,0.00,0.00,48.18,232.18,0.00,0.00,,
360,2026-06-08T11:30:00+00:00,dry_spell,282.66,0.49,0.5188,0.00,0.00,0.00,48.67,232.67,0.00,0.00,,
361,2026-06-08T12:00:00+00:00,dry_spell,283.90,0.35,0.3792,1135.60,0.00,-1135.60,45.02,233.02,4.00,0.00,,
362,2026-06-08T12:30:00+00:00,dry_spell,283.90,0.48,0.5237,0.00,0.00,0.00,45.50,233.50,0.00,0.00,,
363,2026-06-08T13:00:00+00:00,dry_spell,283.90,0.55,0.5928,0.00,0.00,0.00,46.05,234.05,0.00,0.00,,
364,2026-06-08T13:30:00+00:00,dry_spell,283.90,0.49,0.5197,0.00,0.00,0.00,46.54,234.54,0.00,0.00,,
365,2026-06-08T14:00:00+00:00,dry_spell,283.90,0.36,0.3820,0.00,1135.60,1135.60,46.90,230.90,0.00,4.00,,
366,2026-06-08T14:30:00+00:00,dry_spell,283.90,0.58,0.6178,0.00,0.00,0.00,47.48,231.48,0.00,0.00,,
367,2026-06-08T15:00:00+00:00,dry_spell,283.90,0.36,0.3746,0.00,0.00,0.00,47.84,231.84,0.00,0.00,,
368,2026-06-08T15:30:00+00:00,dry_spell,283.90,0.45,0.4883,0.00,1135.60,1135.60,48.29,228.29,0.00,4.00,,
369,2026-06-08T16:00:00+00:00,dry_spell,302.47,1.23,1.3020,1209.88,0.00,-1209.88,45.52,229.52,4.00,0.00,,
370,2026-06-08T16:30:00+00:00,dry_spell,302.47,1.13,1.1302,0.00,0.00,0.00,46.65,230.65,0.00,0.00,,
371,2026-06-08T17:00:00+00:00,dry_spell,302.47,1.19,1.1915,0.00,0.00,0.00,47.84,231.84,0.00,0.00,,
372,2026-06-08T17:30:00+00:00,dry_spell,302.47,1.20,1.3042,0.00,0.00,0.00,49.04,233.04,0.00,0.00,,
373,2026-06-08T18:00:00+00:00,dry_spell,302.47,1.20,1.2273,0.00,0.00,0.00,50.24,234.24,0.00,0.00,,
374,2026-06-08T18:30:00+00:00,dry_spell,302.47,0.94,0.9843,1209.88,1209.88,0.00,47.18,231.18,4.00,4.00,,
375,2026-06-08T19:00:00+00:00,dry_spell,302.47,0.96,1.0474,0.00,0.00,0.00,48.14,232.14,0.00,0.00,,
376,2026-06-08T19:30:00+00:00,dry_spell,302.47,1.22,1.2988,0.00,0.00,0.00,49.36,233.36,0.00,0.00,,
377,2026-06-08T20:00:00+00:00,dry_spell,277.06,1.04,1.0501,0.00,1108.24,1108.24,50.40,230.40,0.00,4.00,,
378,2026-06-08T20:30:00+00:00,dry_spell,277.06,1.23,1.2736,1108.24,0.00,-1108.24,47.63,231.63,4.00,0.00,,
379,2026-06-08T21:00:00+00:00,dry_spell,277.06,1.16,1.1744,0.00,0.00,0.00,48.79,232.79,0.00,0.00,,
380,2026-06-08T21:30:00+00:00,dry_spell,277.06,0.28,0.3043,0.00,0.00,0.00,49.07,233.07,0.00,0.00,,
381,2026-06-08T22:00:00+00:00,dry_spell,277.06,0.21,0.2267,1108.24,0.00,-1108.24,45.28,233.28,4.00,0.00,,
382,2026-06-08T22:30:00+00:00,dry_spell,277.06,0.29,0.3016,0.00,0.00,0.00,45.57,233.57,0.00,0.00,,
383,2026-06-08T23:00:00+00:00,dry_spell,277.06,0.19,0.1969,0.00,0.00,0.00,45.76,233.76,0.00,0.00,,
384,2026-06-08T23:30:00+00:00,dry_spell,277.06,0.30,0.3098,0.00,0.00,0.00,46.06,234.06,0.00,0.00,,
385,2026-06-09T00:00:00+00:00,wet_multi_day,228.42,2.97,3.2638,913.68,913.68,0.00,45.03,233.03,4.00,4.00,,
386,2026-06-09T00:30:00+00:00,wet_multi_day,228.42,2.97,3.0319,0.00,913.68,913.68,48.00,232.00,0.00,4.00,,
387,2026-06-09T01:00:00+00:00,wet_multi_day,228.42,2.90,3.1690,913.68,913.68,0.00,46.90,230.90,4.00,4.00,,
388,2026-06-09T01:30:00+00:00,wet_multi_day,228.42,3.04,3.2361,913.68,0.00,-913.68,45.94,233.94,4.00,0.00,,
389,2026-06-09T02:00:00+00:00,wet_multi_day,228.42,2.82,3.0030,0.00,913.68,913.68,48.76,232.76,0.00,4.00,,
390,2026-06-09T02:30:00+00:00,wet_multi_day,228.42,2.68,2.8580,913.68,913.68,0.00,47.44,231.44,4.00,4.00,,
391,2026-06-09T03:00:00+00:00,wet_multi_day,228.42,2.73,2.7664,913.68,913.68,0.00,46.17,230.17,4.00,4.00,,
392,2026-06-09T03:30:00+00:00,wet_multi_day,228.42,2.87,2.9976,913.68,913.68,0.00,45.04,229.04,4.00,4.00,,
393,2026-06-09T04:00:00+00:00,wet_multi_day,257.37,2.92,3.1258,0.00,0.00,0.00,47.96,231.96,0.00,0.00,,
394,2026-06-09T04:30:00+00:00,wet_multi_day,257.37,2.65,2.8476,0.00,1029.48,1029.48,50.61,230.61,0.00,4.00,,
395,2026-06-09T05:00:00+00:00,wet_multi_day,257.37,3.11,3.1439,0.00,1029.48,1029.48,53.72,229.72,0.00,4.00,,
396,2026-06-09T05:30:00+00:00,wet_multi_day,257.37,6.11,6.1532,3088.44,1029.48,-2058.96,47.83,231.83,12.00,4.00,,
397,2026-06-09T06:00:00+00:00,wet_multi_day,257.37,6.08,6.6326,2058.96,2058.96,0.00,45.91,229.91,8.00,8.00,,
398,2026-06-09T06:30:00+00:00,wet_multi_day,257.37,6.64,7.0708,1029.48,2058.96,1029.48,48.55,228.55,4.00,8.00,,
399,2026-06-09T07:00:00+00:00,wet_multi_day,257.37,6.54,7.0982,2058.96,1029.48,-1029.48,47.09,231.09,8.00,4.00,,
400,2026-06-09T07:30:00+00:00,wet_multi_day,257.37,6.22,6.3163,1029.48,2058.96,1029.48,49.31,229.31,4.00,8.00,,
401,2026-06-09T08:00:00+00:00,wet_multi_day,282.66,6.24,6.3463,2261.28,2261.28,0.00,47.55,227.55,8.00,8.00,,
402,2026-06-09T08:30:00+00:00,wet_multi_day,282.66,6.50,6.8525,2261.28,1130.64,-1130.64,46.05,230.05,8.00,4.00,,
